task_id,method,category,cvsr,object_f1,critical_recall,relation_f1,binding_f1,repair_success,fatal_violation,evidence_precision,replay_success,llm_calls,tool_calls,repair_rounds,tokens,cost_usd,latency_ms
TN11-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,17797,0.00399784,136285.8
TN11-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,18118,0.0040817,165261.9
TN11-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,7416,0.0015838199999999999,64941.0
TN11-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,7442,0.0015911,82147.4
TN11-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,7573,0.00162778,77532.0
TN11-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,7884,0.0017148600000000001,57455.6
TN11-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,7752,0.0016779,58146.6
TN11-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1896,0.00043344,19196.9
TN11-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1896,0.00043344,15249.1
TN11-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1896,0.00043344,19147.8
TN11-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1896,0.00043344,198594.8
TN11-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1896,0.00043344,14976.3
TN11-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2526,0.00037576,12865.4
TN11-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2500,0.00037576,3149.0
TN11-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2458,0.00036764,6338.8
TN11-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2500,0.00037576,44309.6
TN11-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2504,0.0003724,7026.7
TN12-v2-asset,SingleAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,1,0,0,1980,0.0004452,41836.3
TN12-v2-asset,SingleAgent-AllTools,asset,False,0.9362,1.0,0.4,0.0,,['R2'],1.0,0.9091,3,20,0,4087,0.0007861,43372.6
TN12-v2-asset,SingleAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,1,0,0,1980,0.0004452,18553.8
TN12-v2-asset,SingleAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,1,0,0,1980,0.0004452,18080.1
TN12-v2-asset,SingleAgent-AllTools,asset,False,0.9167,1.0,0.2727,0.0,,['R2'],1.0,0.9167,3,21,0,4389,0.00086926,50677.3
TN12-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,19000,0.00434,191732.2
TN12-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,17878,0.004025839999999999,166997.4
TN12-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,18168,0.00409682,181487.3
TN12-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,18393,0.00417004,323879.2
TN12-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,18891,0.00430192,189758.1
TN12-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,7372,0.0015715,63210.5
TN12-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,6936,0.0014494199999999999,58287.7
TN12-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,8719,0.00194866,121867.9
TN12-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,8424,0.0018660600000000001,74860.1
TN12-v2-asset,GenericMultiAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,5,0,0,8702,0.0019439,79434.5
TN12-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1896,0.00043344,19838.3
TN12-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1896,0.00043344,9630.8
TN12-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1896,0.00043344,31486.2
TN12-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1896,0.00043344,23239.4
TN12-v2-asset,GenericRepair-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],1.0,1.0,1,1,0,1896,0.00043344,16966.4
TN12-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2504,0.0003724,7796.6
TN12-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2504,0.0003724,6741.5
TN12-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2504,0.0003724,17624.2
TN12-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2458,0.00036764,4654.7
TN12-v2-asset,KAFarmTwin-TypedRepair,asset,True,1.0,1.0,1.0,1.0,,[],1.0,1.0,2,13,1,2500,0.00037576,3754.1
TN13-v2-asset,SingleAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,1,0,0,1981,0.00044534,42019.8
TN13-v2-asset,SingleAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,1,0,0,1981,0.00044534,19918.5
TN13-v2-asset,SingleAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,1,0,0,1981,0.00044534,18364.6
TN13-v2-asset,SingleAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,1,0,0,1981,0.00044534,18598.3
TN13-v2-asset,SingleAgent-AllTools,asset,False,0.9286,1.0,0.375,0.0,,['R2'],1.0,0.9231,3,23,0,4414,0.00087696,27203.0
